0, 0, 48872, 97740, -1, -1, -1, -1
1, 6.28066, 18752, 50622, -1, -1, -1, -1
2, 0.120487, 19614, 106982, -1, -1, -1, -1
3, 3.24756, 30019, 161398, 9.13668e+06, 408.494, 0, -1
7, 4.4978, 11656, 64954, 2025.77, 13.2968, -1, -1
6, 0.984478, 180610, 999218, 1630.94, 8.88291, -1, -1
7, 6.91652, 53720, 305102, 1084.91, 4.92704, -1, -1
8, 2.27713, 53720, 296098, 1084.91, 4.26882, -1, -1
9, 0.92478, 53720, 296098, 154.087, 3.9618, -1, -1
6, 0.281384, 90433, 496569, 154.087, 3.99375, -1, -1
7, 3.19327, 57347, 316616, 154.087, 3.92641, -1, -1
8, 2.10213, 57347, 316106, 53.059, 3.87371, -1, -1
9, 0.937351, 57347, 316106, 45.387, 3.77505, -1, -1
6, 0.225564, 83076, 457762, 45.387, 3.84489, -1, -1
7, 2.4463, 58960, 325524, 45.387, 3.77824, -1, -1
8, 1.93424, 58960, 325394, 45.387, 3.7499, -1, -1
9, 0.886547, 58960, 325394, 42.767, 3.69628, -1, -1
6, 0.211482, 79935, 440023, 42.767, 3.77444, -1, -1
7, 2.24418, 60058, 331652, 42.767, 3.70064, -1, -1
8, 1.90384, 60058, 331578, 42.767, 3.6812, -1, -1
9, 0.843915, 60058, 331578, 42.767, 3.64346, -1, -1
6, 0.217484, 81489, 446227, 47.2557, 3.74999, -1, -1
7, 2.35836, 61886, 341863, 17.8106, 3.65011, -1, -1
8, 2.04808, 61886, 341768, 17.5104, 3.63155, -1, -1
9, 0.892352, 61886, 341768, 17.2136, 3.5919, -1, -1
6, 0.198112, 78483, 429165, 17.2136, 3.67966, -1, -1
7, 2.10116, 62517, 345324, 17.2136, 3.59665, -1, -1
8, 2.1033, 62517, 345310, 17.2136, 3.58476, -1, -1
9, 1.00317, 62517, 345310, 17.2056, 3.55779, -1, -1
6, 0.211854, 75944, 415480, 18.0954, 3.63834, -1, -1
7, 2.11119, 63127, 348738, 13.7478, 3.56229, -1, -1
8, 1.97807, 63127, 348695, 7.56573, 3.55345, -1, -1
9, 0.803065, 63127, 348695, 7.56573, 3.53295, -1, -1
7, 1.39942, 62765, 346419, 7.56573, 3.53181, -1, -1
4, 50.6624, 62765, 346419, 7.56573, 3.53181, -1, -1
5, 0.905656, 62765, 102954, 7.32599, 3.54308, -1, -1
-1, 61.2168, 62765, 102954, 7.32599, 3.54308, 0, 301
